昵称,星级,有用,评论
李韭韭,5,23,不是喜剧，也不是合家欢。抛开感情因素，也是我会打五星的作品。三维画面绝美，二维那段可以封神。剧情方面争议大，但是我个人觉得故事讲得挺完整的。认真打磨作品，观众是能看到的，制作诚意没得说。感谢这些怀抱热情做动画的从业者。
盲忙,4,22,"
“当狐妖散尽，这世间就能重变美好吗？”因为最可怕的从来不是妖，而是人，甚至是你们一直供养、只手遮天的“神”啊！虽然姜子牙最后喊出了“愿世间再无庇佑”，但我不认为这是部无神论之作，毕竟师尊之后还有师祖啊！这究竟代表了什么，相信每个人都有不同解读，而最后渡劫城里的姜子牙，不正像替世人受难的耶稣吗？没想到不是改编那个耳熟能详的武王伐纣，而讲的是封神之后的故事，相比于对经典充满风险的颠覆，这样的做法给了创作更大的发挥空间，也赋予了姜子牙这个角色在大义之外更多悲悯的底色。成片效果也很惊喜，精彩又有深度，视觉效果比过往更进一步，画风旷远、瑰丽、充满神秘，也是我喜欢的。"
麦小白,2,10,画面秀一脸我也不想听你讲大道理啊。隔几分钟就抒情一下，也太情感充沛了！整个正片还不如跟哪吒同框的彩蛋好看。
苏乏,-,7,最厉害的地方就是那条龙，特别塞尔达旷野之息，然而通篇下来看得很疲惫，心里也蛮慌的，这么多钱就花了但是故事？在体量上够电影叙事，但情节量实在也就45分钟，我最担心最后成绩很好，观众用钱投票了，就觉得剧本没问题了，能有什么问题啊？按你的说法做一个故事能有这么高的票房吗？细节、情绪和场面都太够用了，像是导演拿着美术画的概设直接上分镜头，戏呢？兴许是没时间研究了，个人觉得彩条屋在做一件特别有意思的事情，让人艳羡，但需要认真梳理一下世界观，或者找个气吞山河的大哥大姐，至少把封神宇宙里哪个角色的片子主打小孩，哪个面向成人市场，至少从角色年龄来看是显而易见的，那么对故事性和主题的要求也就唯一确定了，把人物关系和节拍表做好，再交给诸位导演们分别牵头创作吧
虫虫,4,14,立意很高，剧本有点拉垮，靠着特效支撑，整体气氛比较压抑，和哪吒是完全不同的两种风格。看彩蛋部分以后是要拍雷震子、杨戬和黄天化吗。
弗吉尼亚南,2,40,剧情平淡低幼，人物扁平不真实。剧情主要靠九尾狐狸讲解推进。结尾莫名其妙，没有主题。
独自退场,4,7,神仙骗人，妖怪反天，今何在直呼内行
Colty,5,8,"92//在几乎脱离对社会群落视野描述的前提下，姜子牙多了很多情绪容量大的段落来放置可欣赏物，尤其在天梯、玄鸟、归墟时刻打开一个开放空间容纳线条和色彩，任凭视线流动获取环境感知。视觉特点很戳我，对比度极高的红蓝和过渡的紫色简直是我的porn。
电影前半段还利用冤魂元素（很击中我的一个意象）和风铃响骨在调动感官和设置疑点的同时引出关于拯救和冤屈的争辩这个不低的立意点，群体和个体在被不同势力、形态的不公正压迫时形成了锁形结构，而解锁可能性的取消引向了通过反叛性的牺牲或毁灭进行的锁体破除来达成理想的众生安定的愿景，个人觉得这算是个巧妙的反叛设计。
整体感受有很多惊讶的成分，对通过友好的画风而用克制的风格讲述严肃故事的电影意外地特别有感觉。"
贺兰迈克,2,7,剧情工程有大问题，零碎得像个花瓶出车祸的现场，美是美，但唏碎，接不上。该交代的不交代，该衔接的没接上，该展开的不展开，不该冲突的地方大动干戈。四不像只能帅一把可以，但别平时像个多动症一样！小九最后对生命的放弃莫名其妙，转世啊，都不犹豫一下吗？姜子牙不像姜子牙，反而像个中年危机还得了抑郁症的岛田半藏。酒馆杂碎们挑衅了半天也没动手是没事闲的吗？纣王对剧情没有任何推动那为啥要出场？出场了跟九尾就这点互动？这俩好歹是领过结婚证的好吗？凭九尾一面之词就能证明师尊有罪了吗？不上点硬证据？师尊又是如何被惩罚的？这么大干部被处罚了不给观众个画面吗？？师祖又搁哪来的？谁铺垫过？这么大领导一个镜头都不给是几个意思？申公豹是不属舔狗的？又是咋幸存的？他不觉得姜子牙渣男吗？话说姜子牙最后人呢？？？
班斯特人,2,20,"如果要夸赞这部电影，必须要建立在中国古风二次元文化的基础之上，因为所有的思辨性都基于一种抽象的概念之上：“救一人还是救苍生”。但其实影片的思辨并不公允，全片笔墨只放在“一人”，而不在“苍生”，二者选择之间的残酷性并没有表现出来。影片的剧本创作整体没有什么惊喜，所有的弧光和情节推进都是程式化的创作。观众一看到“狐妖幻象”就知道这个肯定不是幻象，一看到姜子牙与小九上路就知道这两人之间要产生父女版的友谊，基本没有意外之喜。最后一点，中国电影创作需要想象力，不只是画面上的，更是概念上的，无论看封神，还是荷马史诗希腊神话，或者庄子与山海经，那种蓬勃的想象力在电影中都很少能看见。我想要看到更大胆的尝试，而不是抓住一个原始故事之后就开始往叙事传统上靠。倒也不完全是缺点，只是我会觉得很可惜"
深邃,2,12,这三界大战怕不是师尊亲自指…
默语生,2,11,受够国产动画制作者了，死盯着画面一味用力过猛，一路烟花秀看得人眼睛疼，可惜剧情和人物上还是弱智逻辑，让所有烟花都成了自我感动。技术的事儿只要肯砸钱总能做个八九不离十，那些光砸钱没用的事儿上就充分暴露还是脑子不够了。给《封神演义》做后传无可厚非，那么厚一本书的前史该让姜子牙这个人物立得实在一点吧？然则并没有。只看到一个感情用事的天真犯，和一个分不清是大义还是私情的心结，就磨叽了整部片子，人物行为逻辑画得还不如申公豹圆，让结尾每个定格和特写都显得如此搞笑。结尾喊口号并不足够感动人，每当金句集连不上篇就强行切换一个视觉奇观把人吓住也并不能阻止差评。真想给《哪吒》的编剧道个歉。两星。
zeroasd123,4,13,技术力上甚至比之前的哪吒还要强，但是这剧本依旧失控，甚至问题更多。天道和人道的冲突塑造的儿戏一般，阴谋论揭露后只让人觉得可笑，男女主这种近似养成系的关系定位处理不好就只剩下互相的苍白无力，当然最后的机械降神收场直接让前面好不容易渲染的一点悲情彻底飞散了。姜子牙可以成为具有反抗精神的新时代的神，但是麻烦他先处理好关于自己的思想矛盾错位。想了一下，通篇不说人话乃至谜语人环境下，申公豹的人物反而鲜活起来。
Luc,4,7,其实是对传统神话体系的颠覆和“我命由我不由天”的抗争精神。什么狐族啊，妖族、龙族啊都不再是简单的反派，而是权力压迫下的底层牺牲品，最后也成了主角们“逆天改命”的推动元素。最后的结局，尤其有讽刺意味。“愿天下在无不公”的原因是，天下是天下人的天下。但是这句话，因为种种原因，姜子牙没有说出口。与哪吒相比，姜子牙的反叛精神更像是中年危机后的勃发。考虑也是苍生、善恶、公平等宏大的主题，这是主创有意在提升格局和境界。因此，技术上也是明显往“大”了做，三界上下，芸芸众生，用人物的渺小凸显场景的恢宏，尤其是渲染和特效上，感觉得出国产动画的明显得进步。比起两个主角，倒是憨直的申公豹和小四不相最是可爱，不知道下一部里的杨戬会是什么样，那可是“封神”里肉身成圣的真·男神呀。
伤逝,4,22,现在国内动画片在技术上真的完全不输好莱坞，姜子牙给我的感觉就是这样，电影一开头就用非常出彩的壁画形式来展开，既传统又高级，各种人物动作流畅，性格鲜明，尤其是在北海的那一帮妖怪，算是电影中很出彩的一个片段，妲己的形象与整个故事的解构算是一个很有创意的冒险，让整个传统故事有一种新时代的气息，申公豹形象的再造也很令人印象深刻。当然，最不能不提的电影中的萌宠四不像，应该是人见人爱，花见花开的那种，强烈要求出周边。
左明情,4,5,节奏不太好，叙事性差了点，说是留白的话内涵又跟不上。但私心很喜欢画面和氛围，四星吧。补充一句关于吹立意内涵的：极度幼稚无法点评。讲真，封神演义本作的内涵都比这个深。在一个唯物主义的时代谈信不信神，没有价值。其他相似。
glow,4,6,如果以为片子是像哪吒的那种剧情酒别抱太大希望了，以为是一个公司出品，而且还是一个ip，以为是一种画风，其实不是
Evarnold,3,8,"1.画面得分两层看：一层是场景设计非常牛逼，另一层是每个场景内的镜头设计缺少动人的细节。2.故事也得分两层看：一层是“救一人还是救苍生”这样的在国际上早已俗套、但在国内仍算新鲜的命题，另一层是在执行上属于“上面有想法、下面没办法”的无奈，比如人物空洞、动作细节不够流畅、动机和逻辑没有环环相扣。3.整体上，《姜子牙》放大了国产动画的成就，也放大了国产动画的缺陷。属于一腔热血、一意孤行、一厢情愿的创作。"
鬈毛毛,2,30,我一直以为彩条屋的脚艺很不错，因为剧本都是脚抠出来的。不过这次他们变聪明了，吝啬地用手抠了最后一点；不过脚这么好的东西也得用上啊，那去抠3D好了！
nezumi,3,4,哪有动画片死吉祥物的？！这跟外婆塞给你一只螃蟹玩，你拖着鼻涕晃着开裆裤（纸尿裤）牵着遛它半天，名字都起好了，突然被大人要回去蒸给你吃，有什么分别？！
枣儿,1,10,俺真是醉了。号称国漫之光，光全在cg上，真是心疼特效师的脑细胞。另外能明显看得出，编剧根本不掌握话语权，俩导演说啥是啥。故事世界观完全破碎，逻辑崩塌，人物动机也没有，情绪煽动尬的脸疼，在影院坐着都想按快进。披着传统IP的皮，拍了个不知所云的公路片，简直浪费观众期待。更气人的是其中一个彩蛋就给放了个段子，您损不损啊。
弗洛伊德DE阿基,5,15,我对豆瓣的评分产生了浓重的质疑 值得二刷的电影看了评分气到吐血 
阿巴厮,4,12,作为《琉璃》的忠实爱好者，非常理解师尊那些动不动拯救苍生为了三界的idea。有一定的仙魔文学基础，才能更理解姜子牙。拍的好。
给艾德林的诗,3,4,为了”天下苍生、最好安排、推翻封建王朝、人民的福祉、资本主义复辟防范”，多少假汝汝汝之名而行罪恶的政治加毫无顾虑，而一名仙官、好人、理想者、仁人志士、红卫兵却在要替上位者降下断头斧之时尚存疑虑，但悲哀的是这疑虑进入天朝的评价体系就是确凿的天问，答案注定只是语焉不详的假象，且姜子牙更悲哀的地方就是对这假象投入了巨量的同情与希望，其间只有那一丝歉意是他自己的，不过却足够了。
噗效愚,2,17,尤其推荐给哈利波特爱好者和封神原教旨主义者观看【指我本人，不是说好看，而是说来都来了总要找点话讲。本片可以带来一种一边体会着封神精神の落陷一边拾获意外の破特彩蛋的奇妙体验，譬如凤凰的眼泪可以疗伤，譬如雷鸟飞过消弭了痛苦的集体记忆，再譬如破特富有建设性的创见，“幽灵是空心的，而阴尸是实心的”。在看的时候难免想起部分友邻赞许它的理由，即这个片子少有地体现出一种普遍大义下个体，甚至是被污名的个体存在的正当性，以及角色对权威发出质疑这一行为的稀缺性，这算是价值上的对号入座，一种偷懒，不能因为目前的追求受挫就过分地称道一个在传达和组织及概念建立方面都存在巨大缺陷的东西，前年《雪怪大冒险》的完成度比它高多了，所谓“细思极恐”片段是因为它表达够深刻吗？还是出于你我的一种出现合理但应该有意克服的代偿心理呢？
丛二,1,4,这片子没有一个人物是成立的（指猫为狗罪不可赦！）口号主题就算了吧。这玩意跟封神宇宙一毛钱关系都没有，顶着东方神话谱系的名，一点东方神怪精髓都木有，骨片风铃和耶稣大爷走好不送。另外虽然美术精良但我觉得半点东方神韵都没有。
暮春二四,4,8,中间有点难看，但是结局救了回来。主要最后姜子牙造型好像耶稣啊。。。这。。。
一生挚爱妖刀姬,1,74,看到姜子牙，那部国产动漫花木兰横空出世，估计要乐疯了。
巴山药日,5,13,"
完全可以给10分
技术、场景、音乐、特效秒天秒地的水平
最大弱点是故事性弱（但故事完整性其实很好了；最后升仙和捶地有点儿强拧）

归墟简直就是个月饼

核心收获：老男人都喜欢小萝莉

前半程节奏太慢，睡着了
后面都很紧凑，配乐加分

姜子牙胡须的细节简直了，一秒想到FF的几万张CG

最后牵手简直世界名画

原画设定也是有趣，开头觉得像胡歌，后面升级直接就耶稣了，两三个构图也很摩西啊

两个细节，有点儿意思
1. 救小九的最后一幕，露出了大狐狸尾巴
2. 天梯是拐弯儿的

可能好多人不一定喜欢，口碑不太容易高，因为节奏慢，没笑点，不合大众口味。可能好多人都觉得正片不如彩蛋……强迫症欢乐多
深海的彩蛋是个what，是为了炫技么……"
解放西井斯塔,3,15,剧情配不上美术，美术色彩又太多，也有失商周的古拙感，感觉就是看了个网游，叔控轻微发作……彩蛋超级可怕！建议强迫症、熊孩子恐惧症患者暂时将你眼睛闭了起来……
Cycble,3,1,"①姜子牙是不是耶稣不知道，但绝逼是处女座啊。
②这剧情不就是《半泽直树2》吗？姜子牙“不救一人何以救苍生”也就是半泽“坚持正确的事，不惜一切代价”，都不过是要做一个正直的人罢了。
③问题也很明显，人物不立体，剧情不动人，内涵靠台词输出，和哪吒里完全相反的申公豹，你告诉我这是一个封神宇宙？？？
"
Bionic Bear,4,19,就成片来说非常出色，本片的最大难点是它必须要将现实中道德困境的大内涵与动画片的这种题材结合以便给观众留有思考，但又同时必须保留那些容易入口的商业元素。比如怎么样构建一个光怪陆离看似非常超然脱俗但又必须捎带一丝刻板的天宫内景，怎么样去揭示个人与体制对抗当中的迷惘，怎么样去展现在自主人公一直信奉的三观被打碎后后的重塑历程，这些在大荧幕上看似激动人心的展示背后其实蕴涵着非常深的社会理解。整个片子虽然说教有余，但是它能做到真挚但不能滥情，飞扬但也要冷静，光是做到这个语态在现今的议题性作品里已经非常厉害。
人五_,3,10,"看了姜子牙。

画面是真的没得说，一开始斩狐妖的场景真的有惊艳到我，美术太棒了，再到后来的沙漠玄鸟、四不象之死、归墟芦苇…几乎随便截图都是海报壁纸的水平。

而且有一个很大的进步就是没有再为了搞笑开奇怪冒犯人的玩笑。

但不得不说整个观影过程我一直在拿《姜子牙》和《1/2的魔法》做比较，同样是两个角色去往一个地方，途径无数场景这样的冒险类故事，但《姜子牙》的角色塑造是在太单薄了，对角色根本没法产生感情，我们就没办法跟着主角开心难过。

一个大妖怪把他们打得要死不活，没有看《1/2的魔法》时弟弟过峡谷那样胆颤心惊。

观影过程脑子里全都是：“哇，好美！”

然后就没了。

台词也尴尬得不行，特别是最后两段强行升华，感觉像在背思想政治书。

国产动画画面美术是真的很棒了，但真的没有灵魂。"
陆源,5,8,又有朋友注销豆瓣账号。我游走在注销和消失的边缘。只是没有更好的地方可去。已经完全不想看朋友圈了，毫无意思。星这种东西，且打且珍惜吧。
郡子,3,8,真实感受：日本青年吉野在欧洲留学动漫专业，偶然读到一篇600字中国神话姜子牙，于是熬夜画了几十页脚本。一万块卖给中国一流动画制作公司，公司花十万找人编剧，编剧花1000雇了个人写台词，后期们熬了无数通宵终于上线了。仅支持国漫角度三星。
不正确记忆,2,6,？？？姜子牙的上级领导可真多啊 搞了半天原来师尊上面还有更大的上级领导啊
Berger,2,27,试图在剧作上延伸出新的意义，但是整部电影都在模糊那位最关键的天尊，以及人狐相锁的原因。这样狐妖的话在某种程度上无法得到确认，那姜子牙反叛的热血就更像一种无脑。最后所谓师祖的“最后一分钟营救”更像一种妥协：揭发腐败的小领导，待大领导旁观一切最后出手支援。包藏祸心的腐败分子被惩处，立功的小神仙名誉满天，大领导英明神武，世间安居乐业。非常的圆满。何来抗争一说？
熊吉,1,3,本来给的两星 故事实在讲的又烂又无聊 结果看到很多人夸画面美 我就有点忍不了 减了一星 没办法 每个人的审美都是主观的东西；我个人非常讨厌被敷衍 看到那么多随随便便铺成的大片树林雪山云海 除了大量抄袭风之旅人的远山之外 我没记住任何一个场景 树根直接用图层遮罩抠掉的底部 都没长在地上 导演使用大量的角色近景很明显就在隐瞒场景的简陋 一到远一点景别就开始堆一些毫无设计感的光效 反正就让观众不去看场景就对了；渲染也是一塌糊涂 很多地方一下有影子一下没影子的 光也是乱打 实在不行就给个红色全景光 用来隐瞒所有渲染的问题 结果人物都过曝了也不调整 刺瞎观众的双眼就对了；就这样敷衍的画面依然会有观众觉得画面精致 更是因为这样的评价多了 中国动画导演的门槛才越来越低 口碑配不上票房的现象越来越严重 
阿暖,4,11,画面和想象力都是惊人的，很享受看这部电影的全部时间。它构建出了一个宏大的、绚丽的、令人沉迷的世界，是一个关于信仰危机和自我重塑的，寓言式的故事。它所塑造的反类型的英雄，同样也正是这个时代所需要的。对于姜子牙来说，他救的不仅是妲己，更是他心中的坚持。至少不管任何时候，我都会被这样的理想主义所打动。
小烨,3,5,本来一开始主题挺好的，满目山河空念远，不如怜取眼前人，这个神仙不太冷。如果好好按照这条线填充细节、晕染情感，说不定是一个神仙爱上凡人的美好爱情故事。但作者偏不，到后面又变成了反抗强权，还用又大又空的口号宣言来进行反抗，最后是更高一级的权力出来压制下级权力，姜子牙的对抗没有了意义，他从头到尾只是一个符号。
hombre pobre,2,10,比较平均水平，每年都会量产几部的那种
泽利格,4,11,视效惊艳，工业化水准惊人，剧本不尽人意，但人物立住了。处女座的姜子牙，嗔怨的九尾，痴情的纣王，萌忠勇帅的四不相，颠覆的申公豹，无情的师尊…都过目不忘。（姜子牙黑发变白这不是甘道夫么）救一人还是救苍生的电车难题；用自己的方式成为神；成为神不是斩断恶，不是斩断善，而是斩断情，无情才能成为神；高层背后的隐秘真相和被掌控的无知苍生；这些话题都太戳人了，但泛滥的抒情 视觉效果 深刻的话题讨论并没能与叙事达成契合，使故事产生断层和割裂，与佳片之间始终差了口气。
妲炉炉,2,7,看着很新其实很旧，最后在更高领导的支持下打败了普通领导的伪叛逆故事
不如去死,3,8,现在国产动画不搞什么反抗精神就没法拍了？
Cure Kuma,4,4,还是那个重构传统故事的手法，后期有些地方交代的不够清楚，开场手绘动画的3D化效果异常惊艳，整个故事有点“绝地天通”的意思，还我兽耳娘！！！
Rui Hu,2,38,人物脸谱化，废镜头多，台词尴尬，无代入感。剧情烂，结局懵逼。不出意外得话，票房会很好，真悲哀
Panda的阴影,4,9,动画技术还算满意，故事剧情差强人意，煽情手法略显刻意，整体观感不太如意。★★★☆
WilliamOsborne,3,8,"7/10。个人觉得比哪吒好一些。
画面很美，这波对称构图也挺强迫症。
这个九尾真是集火影和死神的大成，当然还有其他很多“致敬”。"
冷毅,1,11,这次是我自己不信邪，我认栽。我已经做好了心理准备，但我真的没想到可以这么糟糕。朋友们，听我一言，别去看。我可以很肯定地说：逐梦演艺圈和喜羊羊比它有趣，甚至深刻。它和哪吒的关系就是上海堡垒和流浪地球的关系，大鱼海棠相比之下真的很不错。全片莫名其妙，逻辑空洞，强行煽情，没有节奏，人物情节塑造都太失败，死人和活人居然都没有造成任何波动，音乐和配音违和假大空，有人说什么哪吒全年龄向，所以搞笑分数高，姜子牙主题深刻成人向，所以看不懂打低分。搞笑，主题深刻前期闷的片多了去了，但是像姜子牙这样从头到位稀烂的，我真的头次见。哪吒用了五分钟就把观众吸引住了，姜子牙完全没有做到。全场唯一一次发出声音是在第二个彩蛋，大家都笑了。全场其他时间死寂。你细品。
风满蜃气楼,4,5,作画很棒，场景太美了，玄鸟出现和四不相消亡的画面简直！归墟的部分有点像复联，《创世纪》真是百用不烦的经典pose…救一人还是救苍生其实是个电车难题，无论怎么选都会陷入道德困境，救眼前的一个个人确是个不偏不倚的答案，但没有真正解决这个矛盾；具体情况只能具体处理。姜子牙最后一击打破了师尊创立的权力格局，但仍未能触及整个神仙系统，只是让“天”被更高级的权威接管了而已…（后来得知原版没有师祖这一段）。姜丝儿声音太美了，男女主角没有任何火花感（无论cp或父女），顺便表白希哥图大，豹姜我倒是可以ww
梦魇马戏团,3,3,让孩子们，青年人们，中年人们多玩一玩3A游戏吧，观众才能对中国动漫圈的自我感动和封闭美学怯魅。
楚大刀,3,3,封神后的故事，但是苍生太空洞，只得眼前这狐妖。简单的公路片，道理多过细节，制作大于剧情，可惜了。开头那段2D真漂亮。
沐梵,3,3,十几亿票房无疑很商业性了，内核却很文艺、诗性，跨界类比的话，气质很像古早网络文学兴起时今何在那帮人的创作，反战思乡、质疑权威、反抗既定秩序、苍生和个人孰轻孰重，主题或命题探讨都有久违的熟悉感。主角们的命运大抵都是“清醒的人总是孤独的”，估计那个时代作者们也是这么看待自己的。
默默等待1986110,2,11,【姜子牙】这一部故事说的不好，剧情薄弱， 有些场景太过牵强；前面铺垫很大、很玄乎的地方，后面却草草了事……
张华弥,4,8,失意中年大叔和失忆兽耳娘踏上旅途，寻找当年战争的真相和自己的身份，这样去讲这个故事，《姜子牙》是不是会更有意思一点？战斗场面气势恢宏，九尾一出场，必定满屏压迫感，反派的苦衷和《哪吒》如出一辙，每个角色都有他的正当性，尤其是角色改编最大的元始天尊，声音听着像河神，其实也是一个非常复杂的人物，反倒是姜子牙，十年被贬，一直抱有当年对天命的怀疑，反而显得愈加悲凉苍郁
Blair,2,3,不不不，我不承认这是封神宇宙里的其中一部。太垃圾了。姜子牙和元始天尊的配音是什么破玩意。所有角色的人/妖/神设都不符合普通中国人的认知。元始天尊的水平是要斩姜子牙的善，杀一人救苍生？但凡看过几部网文估计都写不出来这么幼稚的框架。服了服了，期望有多大，失望还更多，看得闹心。一看就不用心，绘图都不咋地，对比哪吒的人物和画面，姜子牙的劣质感冲出画面，因为是3d的，可以随便糊弄吧。全场只有哪吒出来的彩蛋时间，同场的观众有点正向反应
花椒浇花椒,5,8,设置狐族假想敌来汲取三界资源的封神演义同人衍生终于被影视化啦：《投名状难交！知识分子姜子牙的漫漫求真路》《打工难！狐族最大包工头誓要找天尊讨回血汗钱》。用姜子牙未被封神来讲非主流故事有意思又太冒险，妥协注定会流血，重新有了信仰的姜子牙必定反抗系统，抱着合家欢期待的观众可能会失望了。虽然有旁白太多台词闪回过度煽情的缺点，但神话爱好者加一星，期待下一部
YiQiao,3,6,文本算烂得一塌糊涂了 人物关系模糊 性格细节缺失 叙事节奏混乱 台词也是各种不通顺和莫名其妙的现代性 但凡能做到联动彩蛋里的生动有趣 也不至于这么难看 甚至最后姜子牙化身为普罗米修斯//不过 显然的是想要通过动画这种表现形式来传达立意和思考的 并且所传达的正是同期立项的《哪吒》缺失的反抗精神 即使需要更高层的帮助 但经由自我意志做出的抉择定无动摇 所谓“相信自己相信的” 愿者上钩成了十年打压 可能这也是浪漫之处 十年过去依然赤诚//画面来说开头风格化片段的亮眼程度不亚于当年被《大圣归来》里的孙猴子甩那一脸的红飘带 而后的也不是说不行 动作场面和人物表情的进步非常清晰 虽然毛发的精细程度还是有差距 不过已经是可以看的水准了//另外就是 田晓鹏的贴片预告 实在是 绝 了
姜小白,4,5,猴哥当年造反质疑玉帝的合法性，如来的解释是玉帝苦历过一千七百五十劫，每劫该十二万九千六百年。后来猴哥自己也考公务员，更不提质疑大佬们的合法性了。拔一毛而利天下，不为也。虽然杨朱这套已经不新鲜，但姜子牙跟申公豹这对proud boys的英勇反抗执行的还挺好的。无论是斩善还是绝情，本质上都是反人性，第一次跟师尊的辩论拍的不错，姜子牙觉得“两个凡是”不行，非常平和的视角，到现在却是轻微冲塔的performance了。最大的缺点是娱乐性太差，小九的围巾太像小王子那条了。
null,3,10,画面比哪吒好，剧情居然比哪吒还烂……十分钟的剧情，灌满一个半小时，还不如 B 站找人做个混剪呢。而且全片搞得挺反抗挺无政府的，结局大反派被师父的师父收拾了，原来是反腐片哈哈，黑社会最高只能到省长。姜子牙「白化」的形象相当无语，所以道家都是狗卵子，只有耶稣是真神。
吃吃喝喝再减肥,5,17,姜子牙是什么神仙男妈妈（不是），给四不相擦嘴嘴那里有可爱到
小时候可牛B了,2,53,又是一部为浪费广大影迷2小时而生的电影。
鑫弦,1,25,把人胃口吊这么高，结果拍了一个屎一样的故事，这不浪费钱么
维生素,2,3,全程矫情又尴尬，比哪吒差的太多……不想多说
低端田园女拳,4,4,别信老大哥的，别当炮灰，守护好身边的人
路人彦小二,3,16,"国漫好像陷入了一个怪圈：超硬核的视觉效果以及无限拔高立意的成人动漫。然而跟国产电影电视剧一样存在一个软肋：好剧本&剧情。
《姜子牙》期待真的捧得太高了，疫情算救了它一把，这电影真的不适合春节合家欢。
优点就是视觉特效，真的NB，可以说是目前中国动画电影的巅峰，在世界上也不输
但是，故事剧情真的……立意真的高，浅层的“为就苍生，可牺牲一人”还是“一人与苍生，同等重要都要救”，深层的“我们的历史总是习惯性找个替罪羊背锅侠，比如妲己红颜祸水亡国论”。狐族只是封神大战的背锅侠。明明很高深的立意，可是人物没有立起来，故事单薄，整体一下子就很空
贴片广告差不多要10分钟
三界都不待见的姜子牙，一种杰克苏式善良
这部和《哪吒》其实一点干系也没，这里的申公豹憨傻可爱，根本不是另一部的反派
最重要的还是好故事"
昆汀的影子,3,2,大老虎落马还是需要更大的XX来打……
坂田仙,3,12,谁能想到最好看的居然是过年就看过的小彩蛋加长 
小A萌,2,2,國慶檔的幾部（不包括家鄉，因為沒看）都有「跳過講故事，拼命講道理」的問題，但沒想到最嚴重的竟然是這部。其他好歹有任務，你一部動畫電影何必呢？動畫電影放棄童真視角等於失去了和觀眾平等交流的鑰匙，創作者為野心所累，有時就變成傲慢了。
斯齊佐飛力尼克,2,29,彩蛋比正片有趣一百倍吧，剧情和人物描画根本hold不住主题设定，对天尊的惩罚就一句话带过，跟现实一样，说不定又是调岗做高管。画面倒没啥可指摘的。
豆瓣用户,2,15,姜子牙真是人生赢家，猫（谁能想到申公豹非但不是反派，反倒成了守护着男一号的男二号，而且真的是只豹子）狗（萌化以后的四不相还是挺可爱的，可以出手办）双全，还有人外少女陪伴。只是剧情实在太差，各种莫名其妙，台词实在太差，各种令人出戏，尤其是神仙，个个讨厌，一开口就在毫无格调地装逼。申公豹为了守护姜子牙，不仅背着师尊偷偷下凡，陪伴姜子牙十年，关键时刻还先牺牲修为给姜子牙召唤天梯，又牺牲自己变成豹子大战狐妖让姜子牙先走，编剧当中一定有腐女，还是个猫党。唯一可取的只有美术，开篇二维动画很赞，妖怪的造型很赞，本想打三星，但是四不相死后的元神跟丘比实在太像，让我一阵恶寒，感觉姜子牙成了性转后的晓美焰，只能扣一星。还有，姜子牙不是应该像我爱罗那样用忍（法）术作战么？怎么全程大部分用体术，让我十分捉急……
艾薇森,3,6,"外壳华丽内容空洞
申公豹:""姜子牙,我的超人~"""
小四不象,3,3,美术设计水准无疑是国产动画top级，很高兴看到封神这个大IP终于被逐步挖掘，剧情经不住较真儿，师尊和九尾的纠葛说不太通，周深唱片尾曲已经是国产动画大制作标配了么？
榴莲包子,2,25,画面很棒但是，姜子牙为什么对小九有那个执念？原力觉醒的时候为什么要裸上身？大量奇奇怪怪的视角转换到底是为什么？
